norad_id	bol	mission_start_date	stop_ops_date	demise_date
571	4/28/1963	4/28/1963	5/8/1963	5/8/1963
572	4/28/1963	4/28/1963	5/20/1963	5/20/1963
576	5/15/1963	5/15/1963	5/16/1963	5/16/1963
577	5/15/1963	5/15/1963	5/16/1963	5/16/1963
578	5/18/1963	5/18/1963	5/27/1963	5/27/1963
580	5/22/1963	5/22/1963	6/2/1965	6/2/1965
581	5/22/1963	5/22/1963	8/26/1963	8/26/1963
582	5/22/1963	5/22/1963	5/12/1965	5/12/1965
583	5/22/1963	5/22/1963	8/30/1963	8/30/1963
584	5/22/1963	5/22/1963	6/25/1963	6/25/1963
585	5/22/1963	5/22/1963	9/30/1963	9/30/1963
586	5/24/1963	5/24/1963	6/2/1963	6/2/1963
587	5/24/1963	5/24/1963	6/8/1963	6/8/1963
588	5/22/1963	5/22/1963	4/2/1964	4/2/1964
590	6/12/1963	6/12/1963	7/11/1963	7/11/1963
591	6/14/1963	6/14/1963	6/19/1963	6/19/1963
592	6/14/1963	6/14/1963	6/16/1963	6/16/1963
593	6/15/1963	6/15/1963	8/7/1963	8/7/1963
595	6/16/1963	6/16/1963	6/19/1963	6/19/1963
596	6/16/1963	6/16/1963	6/18/1963	6/18/1963
597	6/15/1963	6/15/1963	7/5/1963	7/5/1963
598	6/15/1963	6/15/1963	7/27/1963	7/27/1963
599	6/15/1963	6/15/1963	8/1/1963	8/1/1963
600	6/15/1963	6/15/1963	7/30/1963	7/30/1963
601	6/15/1963	6/15/1963	7/18/1963	7/18/1963
609	6/27/1963	6/27/1963	7/26/1963	7/26/1963
611	6/16/1963	6/16/1963	3/1/1971	3/1/1971
613	6/29/1963	6/29/1963	10/26/1969	10/26/1969
615	6/29/1963	6/29/1963	11/15/1964	11/15/1964
616	6/29/1963	6/29/1963	7/10/1963	7/10/1963
617	6/15/1963	6/15/1963	7/3/1963	7/3/1963
618	7/12/1963	7/12/1963	7/17/1963	7/17/1963
619	7/12/1963	7/12/1963	7/13/1963	7/13/1963
620	7/12/1963	7/12/1963	7/16/1963	7/16/1963
621	7/19/1963	7/19/1963	8/13/1963	8/13/1963
623	7/19/1963	7/19/1963	7/29/1963	7/29/1963
624	7/19/1963	7/19/1963	4/12/1971	4/12/1971
626	7/31/1963	7/31/1963	8/12/1963	8/12/1963
627	7/31/1963	7/31/1963	8/10/1963	8/10/1963
632	8/6/1963	8/6/1963	3/30/1964	3/30/1964
633	8/6/1963	8/6/1963	12/8/1963	12/8/1963
636	8/25/1963	8/25/1963	9/12/1963	9/12/1963
637	8/29/1963	8/29/1963	11/7/1963	11/7/1963
638	8/29/1963	8/29/1963	10/13/1963	10/13/1963
639	8/29/1963	8/29/1963	9/2/1963	9/2/1963
640	8/29/1963	8/29/1963	9/1/1963	9/1/1963
641	9/6/1963	9/6/1963	9/13/1963	9/13/1963
642	8/25/1963	8/25/1963	9/8/1963	9/8/1963
646	6/29/1961	6/29/1961	6/7/1972	6/7/1972
651	6/29/1961	6/29/1961	1/5/1991	1/5/1991
654	6/29/1961	6/29/1961	7/3/1968	7/3/1968
663	9/6/1963	9/6/1963	9/13/1963	9/13/1963
664	9/6/1963	9/6/1963	9/10/1963	9/10/1963
666	9/6/1963	9/6/1963	9/10/1963	9/10/1963
667	9/6/1963	9/6/1963	9/10/1963	9/10/1963
668	9/23/1963	9/23/1963	10/12/1963	10/12/1963
673	10/18/1963	10/18/1963	10/26/1963	10/26/1963
676	10/18/1963	10/18/1963	10/30/1963	10/30/1963
677	10/25/1963	10/25/1963	10/29/1963	10/29/1963
678	10/25/1963	10/25/1963	10/29/1963	10/29/1963
679	10/25/1963	10/25/1963	10/29/1963	10/29/1963
680	10/25/1963	10/25/1963	10/29/1963	10/29/1963
681	10/29/1963	10/29/1963	1/21/1964	1/21/1964
682	10/29/1963	10/29/1963	5/23/1965	5/23/1965
684	11/1/1963	11/1/1963	11/23/1966	11/23/1966
685	11/1/1963	11/1/1963	10/29/1965	10/29/1965
686	11/1/1963	11/1/1963	12/19/1966	12/19/1966
687	11/11/1963	11/11/1963	11/14/1963	11/14/1963
688	11/11/1963	11/11/1963	11/12/1963	11/12/1963
689	11/16/1963	11/16/1963	11/22/1963	11/22/1963
690	11/16/1963	11/16/1963	12/3/1963	12/3/1963
691	10/29/1963	10/29/1963	11/29/1963	11/29/1963
693	11/27/1963	11/27/1963	12/30/1965	12/30/1965
695	11/27/1963	11/27/1963	12/15/1963	12/15/1963
707	12/13/1963	12/13/1963	3/27/1964	3/27/1964
708	12/13/1963	12/13/1963	3/6/1964	3/6/1964
709	12/13/1963	12/13/1963	1/3/1964	1/3/1964
711	12/18/1963	12/18/1963	12/20/1963	12/20/1963
712	12/19/1963	12/19/1963	12/28/1963	12/28/1963
713	12/19/1963	12/19/1963	1/25/1964	1/25/1964
718	12/21/1963	12/21/1963	1/8/1964	1/8/1964
719	12/21/1963	12/21/1963	11/7/1964	11/7/1964
740	1/25/1964	1/25/1964	6/7/1969	6/7/1969
744	1/29/1964	1/29/1964	4/30/1966	4/30/1966
749	1/25/1964	1/25/1964	2/23/1966	2/23/1966
752	2/15/1964	2/15/1964	3/9/1964	3/9/1964
754	2/25/1964	2/25/1964	3/1/1964	3/1/1964
755	2/15/1964	2/15/1964	2/26/1964	2/26/1964
757	2/27/1964	2/27/1964	11/21/1964	11/21/1964
758	2/27/1964	2/27/1964	6/18/1964	6/18/1964
760	2/28/1964	2/28/1964	8/17/1965	8/17/1965
761	2/28/1964	2/28/1964	9/21/1965	9/21/1965
762	2/27/1964	2/27/1964	3/4/1964	3/4/1964
763	2/27/1964	2/27/1964	4/23/1964	4/23/1964
764	3/11/1964	3/11/1964	3/16/1964	3/16/1964
765	3/11/1964	3/11/1964	3/12/1964	3/12/1964
766	3/18/1964	3/18/1964	9/28/1964	9/28/1964
767	3/18/1964	3/18/1964	5/17/1964	5/17/1964
768	3/18/1964	3/18/1964	5/4/1964	5/4/1964
769	3/18/1964	3/18/1964	3/25/1964	3/25/1964
770	3/27/1964	3/27/1964	3/28/1964	3/28/1964
771	3/27/1964	3/27/1964	11/18/1967	11/18/1967
