# SPACE DATA - CATALOG TLEs (nice format)
# Generated : 2026/03/21-13:43:36
#
#                  LINE 1                                             |                 LINE 2                                                |      DERIVED PARAMETERS
# --------------------------------------------------------------------+-----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------
# NORAD  COSPAR     TLE_EPOCH      MEANMOT1 MEANMOT2   BSTAR  #  REV  |   NORAD    INC     RAAN     ECC    ARGPER  MEANANOM   MEANMOT     REV |  CAL_DATE              LONG      ARG_LAT     TANOM    PERIOD        SMA         PERIGEE        APOGEE      INC_X      INC_Y      ECC_X      ECC_Y
# ------ ------   -------------- ----------  -------  ------- -- ----     -----  ------- -------- ------- -------- -------- -----------  ----   ------------------- ---------  --------- ---------  --------  ------------  ------------   ----------- ---------- ----------  ---------  ---------
1 00073U 61002  C 61074.86322116  .02217689 +00000-0 +00000-0 0  9991 | 2 00073 064.8865 042.5218 0062814 057.7291 302.5799 16.32431997006403 | 1961/03/15-20:43:02  261.4954  359.6999  301.9708   88.2119     6564.1492     6522.9171     6605.3812  47.822663  43.854883  -0.001118   0.006181
1 00074U 60016  C 89127.00883376  .02098965 +49187-2 +22120-2 0  9995 | 2 00074 048.5374 350.7700 0009533 238.7285 120.9850 16.11032606545411 | 1989/05/07-00:12:43   58.0198  359.8071  121.0786   89.3837     6622.1491     6615.8362     6628.4620  47.908958  -7.785303  -0.000619  -0.000725
1 00075U 60016  D 90023.65502152  .03695442 +15733-4 +16800-2 0  9998 | 2 00075 048.5003 110.5790 0012245 332.5609 027.6347 16.20974718995668 | 1990/01/23-15:43:13   67.8958    0.2608   27.6999   88.8354     6595.0437     6586.9681     6603.1194 -17.047785  45.405420   0.000146   0.001216
1 00076U 61003  B 61046.11847496  .02053904 +00000-0 +00000-0 0  9993 | 2 00076 065.0109 175.1827 0020416 019.8990 340.1414 16.18307633000506 | 1961/02/15-02:50:36  192.9142  359.9607  340.0617   88.9818     6602.2878     6588.8086     6615.7670 -64.781252   5.459532  -0.001971  -0.000531
1 00077U 61003  C 61054.18649006  .02195001 +00000-0 +00000-0 0  9992 | 2 00077 065.0109 145.4230 0055625 017.7415 342.3569 16.25160317001807 | 1961/02/23-04:28:32  255.1184  359.9039  342.1624   88.6066     6583.7152     6547.0933     6620.3371 -53.527651  36.894549  -0.005324   0.001611
1 00078U 61003  D 61043.08113194  .00392946 +00000-0 +00000-0 0  9999 | 2 00078 065.0109 186.4129 0080516 020.4596 339.7037 16.08399757000013 | 1961/02/12-01:56:49  165.0847  359.8402  339.3806   89.5300     6629.3738     6575.9968     6682.7509 -64.604114  -7.261241  -0.007182  -0.003639
1 00079U 61001  B 70282.13435484  .09201103 +00000-0 +00000-0 0  9991 | 2 00079 097.3467 044.2350 0032610 143.8795 216.4665 16.49960777540859 | 1970/10/09-03:13:28  201.7399    0.1246  216.2451   87.2748     6517.5759     6496.3220     6538.8297  69.747411  67.909341  -0.003228  -0.000460
1 00081U 61004  A 64099.25942492  .10394656 +00000-0 +00000-0 0  9999 | 2 00081 038.8448 136.7337 0200872 038.1868 323.2614 15.48210031142271 | 1964/04/08-06:13:34  332.4981    0.0432  321.8564   93.0106     6800.0993     6663.5044     6936.6943 -28.285852  26.623844  -0.020008   0.001778
1 00082U 61004B   26080.01380871  .00000206  00000-0  20269-3 0  9995 | 2 00082  38.8576 327.2978 1166653 159.2312 206.0087 12.27878613 65962 | 2026/03/21-00:19:53   31.4802    0.0663  200.8351  117.2754     7936.5462     7010.6267     8862.4658  32.698283 -20.993698  -0.069443   0.093747
1 00083U 61005  A 62206.70306200  .02507153 +25804-1 +00000-0 0  9990 | 2 00083 080.8319 224.1510 0000000 103.6165 238.9354 16.25710547080751 | 1962/07/25-16:52:24  169.5160  342.5519  238.9354   88.5767     6582.2296     6582.2296     6582.2296 -57.997419 -56.303600   0.000000  -0.000000
1 00084U 61006  A 62108.49162620  .00734000 +00000-0 +00000-0 0  9996 | 2 00084 080.6348 036.1968 0053808 166.7139 193.2084 16.12462598064396 | 1962/04/18-11:47:56  167.9585  359.7823  193.0684   89.3044     6618.2333     6582.6219     6653.8447  65.071743  47.619736  -0.004956  -0.002095
1    85U 61004C   25126.91579424  .00547528  00000-0  83528-2 0  9990 | 2    85  38.6281 333.3586 0047038 226.2995 133.3890 15.50513241188530 | 2025/05/06-21:58:44   42.0542    0.0786  133.7791   92.8725     6793.3635     6761.4089     6825.3181  34.526973 -17.321035  -0.004430  -0.001582
1 00087U 61007  A 61089.39107037  .11557550 +00000-0 +00000-0 0  9992 | 2 00087 028.3799 144.5259 0068373 083.3360 277.0597 16.34729247005608 | 1961/03/30-09:23:08    4.2692  359.6173  276.2813   88.0880     6557.9981     6513.1591     6602.8371 -23.111964  16.469846  -0.004587  -0.005070
1 00088U 61005  B 61090.88572693  .01415362 +00000-0 +00000-0 0  9994 | 2 00088 080.9099 107.9583 0000000 339.6631 020.3368 15.97538142006505 | 1961/03/31-21:15:26  220.2827  359.9999   20.3368   90.1387     6659.3885     6659.3885     6659.3885 -24.946523  76.968064   0.000000   0.000000
1 00089U 61005  C 61091.31996822  .00509837 +00000-0 +00000-0 0  9998 | 2 00089 080.9099 108.5267 0187904 341.2386 019.1045 15.51776004006506 | 1961/04/01-07:40:45   16.5563    1.0638   19.8252   92.7969     6789.6776     6662.0969     6917.2584 -25.708841  76.716800   0.000077   0.018790
1 00090U 61005  D 61295.45793529  .01555739 +00000-0 +00000-0 0  9993 | 2 00090 080.7118 219.4209 0004101 016.4298 343.5769 15.82295788037405 | 1961/10/22-10:59:25  157.0092  359.9934  343.5636   91.0070     6702.0870     6699.3385     6704.8355 -62.350026 -51.252989  -0.000230  -0.000339
1 00091U 61008  A 61068.32560921  .00000000 +00000-0 +00000-0 0  9994 | 2 00091 064.9300 300.5999 0070000 095.0000 265.4066 16.39468422000015 | 1961/03/09-07:48:52  163.7900  359.6076  264.6076   87.8333     6545.3540     6499.5365     6591.1714  33.051962 -55.888038   0.005692   0.004075
1 00092U 61008  B 61068.57164955  .00000000 +00000-0 +00000-0 0  9999 | 2 00092 064.9299 298.7499 0023484 024.4999 335.5567 16.32781345000057 | 1961/03/09-13:43:10  254.0644  359.9449  335.4450   88.1931     6563.2128     6547.7998     6578.6259  31.230453 -56.925835   0.001882  -0.001405
