NORAD_ID	bol	mission_start_date	stop_ops_date	demise_date
000038353	5/26/2012	5/26/2012	8/6/2024	8/6/2024
000038477	9/14/1997	9/14/1997		
000038499	5/10/1999	5/10/1999		
000038517	5/10/1999	5/10/1999	8/12/2024	8/12/2024
000038536	10/28/1983	10/28/1983	9/8/2024	9/8/2024
000038544	1/30/1988	1/30/1988		
000038575	3/14/2008	3/14/2008		
000038707	7/22/2012	7/22/2012	11/19/2024	11/19/2024
000038708	7/22/2012	7/22/2012	10/17/2024	10/17/2024
000038720	5/10/1999	5/10/1999	8/4/2024	8/4/2024
000038781	9/28/2012	9/28/2012	1/7/2025	1/7/2025
000038786	5/10/1999	5/10/1999		
000039186	6/25/2013	6/25/2013	11/18/2024	11/18/2024
000039707	12/25/1992	12/25/1992		
000039770	5/24/2014	5/24/2014	8/11/2024	8/11/2024
000039871	3/26/1993	3/26/1993	11/26/2024	11/26/2024
000039916	5/19/1994	5/19/1994	8/16/2024	8/16/2024
000040144	9/8/2014	9/8/2014	2/1/2025	2/1/2025
000040243	5/19/1994	5/19/1994	11/1/2024	11/1/2024
000040302	11/6/2014	11/6/2014	11/5/2024	11/5/2024
000040354	12/19/2014	12/19/2014	10/12/2024	10/12/2024
000040435	3/24/1995	3/24/1995	8/15/2024	8/15/2024
000040476	3/24/1995	3/24/1995	11/26/2024	11/26/2024
000040480	3/24/1995	3/24/1995		
000040492	3/24/1995	3/24/1995	12/14/2024	12/14/2024
000040569	3/24/1995	3/24/1995	8/10/2024	8/10/2024
000040572	3/24/1995	3/24/1995	10/11/2024	10/11/2024
000040675	3/24/1995	3/24/1995	1/3/2025	1/3/2025
000040680	3/24/1995	3/24/1995	11/26/2024	11/26/2024
000040721	3/24/1995	3/24/1995	11/5/2024	11/5/2024
000040832	10/31/2010	10/31/2010		
000040867	2/24/2012	2/24/2012		
000040904	9/19/2015	9/19/2015	11/16/2024	11/16/2024
000040907	9/19/2015	9/19/2015	11/19/2024	11/19/2024
000040911	9/19/2015	9/19/2015	11/23/2024	11/23/2024
000041090	9/21/2000	9/21/2000	12/24/2024	12/24/2024
000041137	9/21/2000	9/21/2000	1/3/2025	1/3/2025
